Name;Temperature;Humidity;Windspeed
Cairo;35,5;10;20,3
Stockholm;15,2;75;5,1
Tokyo;28,1;50;10,2
New York;22,0;60;15,0
São Paulo;25,0;80;2,5
Los Angeles;24,0;65;3,5
Osaka;30,0;50;12,0
Kyoto;20,0;90;8,0
Nagoya;26,0;70;11,0
Seoul;18,5;85;2,2
Busan;22,5;55;5,5
Paris;21,0;60;10,0
London;15,0;75;12,0
Berlin;18,0;65;14,0
Moscow;17,0;60;10,0
Madrid;25,0;50;5,0
Rome;23,0;55;15,0
Vienna;20,0;70;10,0
Budapest;21,0;65;8,0
Prague;19,0;60;10,0
Zurich;18,0;70;6,0
Oslo;14,0;80;15,0
Helsinki;15,0;70;12,0
Copenhagen;17,0;65;15,0
Stockholm;15,2;75;5,1
Amsterdam;17,0;80;13,0
Brussels;16,0;70;12,0
Athens;29,0;40;8,0
Lisbon;24,0;65;10,0
Istanbul;22,0;70;12,0
Kiev;19,0;60;10,0
Bucharest;22,0;65;10,0
Sofia;20,0;70;8,0
Belgrade;21,0;65;9,0
Dublin;15,0;80;15,0
Edinburgh;14,0;80;11,0
Barcelona;25,0;60;10,0
Valencia;26,0;55;12,0
Marseille;24,0;60;15,0
Lyon;22,0;65;10,0
Milan;23,0;55;10,0
Naples;25,0;50;12,0
Turin;20,0;70;5,0
Palermo;26,0;60;7,0
Genoa;24,0;65;10,0
Rotterdam;17,0;70;20,0
Munich;19,0;70;8,0
Frankfurt;20,0;65;12,0
Hamburg;16,0;75;14,0
Dusseldorf;18,0;70;10,0
Cologne;19,0;65;15,0
Stuttgart;19,0;60;10,0
Dortmund;18,0;70;12,0
Essen;18,0;70;12,0
Dresden;18,0;65;10,0
Leipzig;19,0;60;8,0
Hanover;17,0;70;10,0
Nuremberg;20,0;65;10,0
Bremen;16,0;75;14,0
Bonn;19,0;60;10,0
